,cnpj,faturamento,funcionarios,total_protesto,valor_protesto
141,06.947.872/0001-48,de 360.000 até 1.500.000,de 10 até 50,0,-
142,00.680.853/0001-11,de 1.500.000 até 4.800.000,de 10 até 50,0,-
143,17.794.841/0001-10,de 360.000 até 1.500.000,de 10 até 50,0,-
144,15.588.112/0001-82,de 81.000 até 360.000,de 10 até 50,61,"562.914,64"
145,81.026.890/0001-02,de 1.500.000 até 4.800.000,de 10 até 50,0,-
146,13.861.424/0001-92,de 0 até 81.000,de 10 até 50,8,"5.307,08"
147,76.492.131/0001-03,de 1.500.000 até 4.800.000,de 10 até 50,98,"455.796,69"
148,27.854.414/0001-34,de 81.000 até 360.000,de 5 até 10,46,"54.858,41"
149,07.110.898/0001-08,de 360.000 até 1.500.000,de 10 até 50,31,"929.502,49"
150,79.902.185/0001-80,de 10.000.000 até 30.000.000,de 100 até 500,0,-
151,05.012.368/0001-93,de 30.000.000 até 100.000.000,de 50 até 100,0,-
152,06.341.728/0001-63,de 360.000 até 1.500.000,de 0 até 5,0,-
153,07.067.469/0001-97,de 360.000 até 1.500.000,de 10 até 50,4,"292.287,71"
154,07.300.335/0001-74,de 360.000 até 1.500.000,de 10 até 50,23,"27.211,57"
155,11.651.057/0001-77,de 1.500.000 até 4.800.000,de 10 até 50,0,-
156,10.556.940/0001-15,de 0 até 81.000,de 5 até 10,0,-
157,04.657.129/0001-28,de 10.000.000 até 30.000.000,acima de 500,0,-
158,04.908.757/0001-39,de 100.000.000 até 300.000.000,de 100 até 500,0,-
159,12.130.463/0001-57,de 4.800.000 até 10.000.000,de 50 até 100,0,-
160,06.235.483/0001-90,de 4.800.000 até 10.000.000,de 100 até 500,27,"660.420,25"
161,14.304.911/0001-17,de 81.000 até 360.000,de 10 até 50,0,-
162,03.346.298/0001-84,de 30.000.000 até 100.000.000,de 100 até 500,0,-
163,04.344.406/0001-42,de 1.500.000 até 4.800.000,de 10 até 50,174,"512.082,06"
164,00.906.835/0001-05,de 4.800.000 até 10.000.000,acima de 500,10,"33.244,70"
165,07.598.516/0001-29,de 10.000.000 até 30.000.000,de 50 até 100,0,-
166,27.445.313/0001-00,de 360.000 até 1.500.000,de 0 até 5,0,-
167,03.623.427/0001-34,de 360.000 até 1.500.000,de 0 até 5,0,-
168,78.262.169/0001-07,de 30.000.000 até 100.000.000,de 50 até 100,0,-
169,06.698.707/0001-08,de 10.000.000 até 30.000.000,de 50 até 100,0,-
170,05.002.177/0001-40,de 4.800.000 até 10.000.000,de 100 até 500,0,-
171,02.039.051/0001-52,de 1.500.000 até 4.800.000,de 10 até 50,0,-
172,01.855.065/0001-81,de 30.000.000 até 100.000.000,de 50 até 100,0,-
173,02.674.286/0001-16,de 0 até 81.000,de 0 até 5,0,-
174,14.492.491/0001-40,de 30.000.000 até 100.000.000,de 100 até 500,0,-
175,04.531.552/0001-87,de 360.000 até 1.500.000,de 10 até 50,0,-
176,83.200.105/0001-11,de 1.500.000 até 4.800.000,de 10 até 50,0,-
177,00.213.945/0001-91,de 360.000 até 1.500.000,de 10 até 50,0,-
178,83.846.600/0001-00,de 360.000 até 1.500.000,de 10 até 50,0,-
179,09.434.352/0001-20,de 1.500.000 até 4.800.000,de 10 até 50,0,-
180,24.447.368/0001-60,de 81.000 até 360.000,de 5 até 10,0,-
181,06.036.316/0001-10,de 360.000 até 1.500.000,de 10 até 50,82,"844.367,65"
182,73.307.944/0001-80,de 81.000 até 360.000,de 10 até 50,0,-
183,21.118.268/0001-00,de 1.500.000 até 4.800.000,de 10 até 50,0,-
184,07.306.957/0001-00,de 10.000.000 até 30.000.000,de 50 até 100,0,-
185,04.203.927/0001-80,de 1.500.000 até 4.800.000,de 10 até 50,0,-
186,32.267.504/0001-69,de 1.500.000 até 4.800.000,de 10 até 50,0,-
187,01.201.578/0001-79,de 300.000.000 até 500.000.000,de 100 até 500,0,-
188,79.286.480/0001-59,de 1.500.000 até 4.800.000,de 10 até 50,14,"848.872,93"
189,85.147.627/0001-22,de 1.500.000 até 4.800.000,de 50 até 100,0,-
190,78.855.830/0001-98,de 300.000.000 até 500.000.000,de 100 até 500,0,-
191,01.586.212/0001-65,de 30.000.000 até 100.000.000,de 100 até 500,0,-
192,82.056.185/0001-10,de 10.000.000 até 30.000.000,de 100 até 500,376,"19.794.417,33"
193,75.552.133/0001-70,de 10.000.000 até 30.000.000,de 100 até 500,0,-
194,17.317.880/0001-27,de 1.500.000 até 4.800.000,de 10 até 50,343,"855.554,70"
