,txt_file,result
408,SERASA-R12198974.txt,1
409,SERASA-R12283902.txt,1
410,SERASA-R1765496.txt,0
411,SERASA-R1061419.txt,1
412,SERASA-R12361231.txt,0
413,SERASA-R2282294.txt,1
414,SERASA-R2249362.txt,0
415,SERASA-R1219742.txt,0
416,SERASA-R2284183.txt,1
417,SERASA-R2294503.txt,0
418,SERASA-R12371761.txt,0
419,SERASA-R12403541.txt,1
420,SERASA-R1153332.txt,1
421,SERASA-R1150228.txt,0
422,SERASA-R1938202.txt,1
423,SERASA-R12286061.txt,0
424,SERASA-R2134164.txt,1
425,SERASA-R2108825.txt,0
426,SERASA-R12323292.txt,1
427,SERASA-R12356653.txt,0
428,SERASA-R1792206.txt,0
429,SERASA-R12299105.txt,1
430,SERASA-R12299091.txt,1
431,SERASA-R2228532.txt,1
432,SERASA-R12272031.txt,1
433,SERASA-R1677801.txt,0
434,SERASA-R12343811.txt,0
435,SERASA-R12279282.txt,1
436,SERASA-R1916853.txt,0
437,SERASA-R1266261.txt,0
438,SERASA-R2270453.txt,1
439,SERASA-R2036951.txt,1
440,SERASA-R1816242.txt,0
441,SERASA-R12306942.txt,1
442,SERASA-R1445841.txt,0
443,SERASA-R12353711.txt,0
444,SERASA-R12180522.txt,0
445,SERASA-R1938153.txt,0
446,SERASA-R1597616.txt,0
447,SERASA-R2082483.txt,1
448,SERASA-R1336842.txt,0
449,SERASA-R12284891.txt,1
450,SERASA-R1697851.txt,0
451,SERASA-R1854403.txt,0
452,SERASA-R1922531.txt,1
453,SERASA-R1922271.txt,1
454,SERASA-R6971962.txt,0
455,SERASA-R1961802.txt,1
456,SERASA-R1660664.txt,0
457,SERASA-R12424772.txt,0
458,SERASA-R12186012.txt,0
459,SERASA-R12159391.txt,0
460,SERASA-R12278433.txt,1
461,SERASA-R12177802.txt,0
462,SERASA-R12332991.txt,1
463,SERASA-R12186401.txt,1
464,SERASA-R1849545.txt,0
465,SERASA-R12424291.txt,1
466,SERASA-R2255931.txt,1
467,SERASA-R12387311.txt,0
468,SERASA-R12363341.txt,0
469,SERASA-R12436751.txt,1
470,SERASA-R1514787.txt,1
471,SERASA-R12213902.txt,1
472,SERASA-R12844411.txt,1
473,SERASA-R1687463.txt,1
